"AA"	[8.773519802089302, 3.3893364041080796]
"AS"	[1.7794761217474975, -0.9704383814144365]
"B6"	[11.333044995656211, 6.552679668074653]
"DL"	[7.338090448359994, 0.185558312145143]
"EV"	[8.49219111957299, 6.3870610181877945]
"F9"	[13.27060856928971, 12.402010216213835]
"HA"	[0.48473882945248586, 2.0169655968114117]
"MQ"	[9.63204268375465, 6.110663471720655]
"NK"	[15.68327383944317, 14.202284906158683]
"OO"	[7.67823058605973, 5.731005025894318]
"UA"	[14.26220664969373, 5.347748694551145]
"US"	[6.0209194071912036, 3.6224291070125556]
"VX"	[8.947094648078446, 4.687575723309048]
"WN"	[10.450107183471951, 4.307521862654584]
